0.0000000000000000	9.500000000000000e+0	2.000000000000000e+0
1.000000000000000e+0	8.000000000000000e-1	3.000000000000000e+0
2.000000000000000e+0	-2.100000000000000e+1	3.000000000000000e+0
3.000000000000000e+0	-5.500000000000000e+1	3.000000000000000e+0
4.000000000000000e+0	-9.000000000000000e+1	2.000000000000000e+0
5.000000000000000e+0	-1.140000000000000e+2	4.000000000000000e+0
6.000000000000000e+0	-1.300000000000000e+2	3.000000000000000e+0
7.000000000000000e+0	-1.400000000000000e+2	2.000000000000000e+0
8.000000000000000e+0	-1.200000000000000e+2	3.000000000000000e+0
9.000000000000000e+0	-7.000000000000000e+1	3.000000000000000e+0
1.000000000000000e+1	1.100000000000000e+1	3.000000000000000e+0
